gene_symbol,transcript_id,TPM
PTGFR,ENST00000370757,0
IFI44L,ENST00000370751,0
IFI44,ENST00000370747,0
ELTD1,ENST00000370742,0
TTLL7,ENST00000260505,0
PRKACB,ENST00000370685,0
SAMD13,ENST00000394834,0
RPF1,ENST00000370654,4.300138
GNG5,ENST00000370645,0
CTBS,ENST00000370630,1.077605
SSX2IP,ENST00000342203,0
LPAR3,ENST00000370611,0
MCOLN2,ENST00000370608,0
MCOLN3,ENST00000370589,0
WDR63,ENST00000294664,0
SYDE2,ENST00000341460,0
C1orf52,ENST00000471115,0
DDAH1,ENST00000284031,3.343866
CYR61,ENST00000451137,0.900189
ZNHIT6,ENST00000370574,0.613532
COL24A1,ENST00000370571,0
CLCA2,ENST00000370565,0
CLCA1,ENST00000394711,0
CLCA4,ENST00000370563,0
SH3GLB1,ENST00000370558,0
SEP15,ENST00000331835,0
HS2ST1,ENST00000370550,1.128148
LMO4,ENST00000370544,0
PKN2,ENST00000370521,1.216326
GTF2B,ENST00000370500,1.352951
CCBL2,ENST00000260508,0
GBP3,ENST00000370481,0
GBP1,ENST00000370473,0.693426
GBP2,ENST00000370466,1.921444
GBP7,ENST00000294671,0.419496
GBP4,ENST00000355754,0
GBP6,ENST00000370456,0.333543
LRRC8B,ENST00000330947,0
LRRC8C,ENST00000370454,0.131952
LRRC8D,ENST00000337338,0
ZNF326,ENST00000340281,0
BARHL2,ENST00000370445,0
ZNF644,ENST00000337393,0.377477
HFM1,ENST00000370425,0
CDC7,ENST00000234626,0
TGFBR3,ENST00000212355,0.159254
EPHX4,ENST00000370383,10.001806
C1orf146,ENST00000370375,0
GLMN,ENST00000370360,0
RPAP2,ENST00000610020,0.185544
GFI1,ENST00000294702,0
RPL5,ENST00000370321,0
FAM69A,ENST00000370310,0
MTF2,ENST00000370298,0
TMED5,ENST00000370282,11.241693
DR1,ENST00000370272,0.277441
BCAR3,ENST00000260502,0
DNTTIP2,ENST00000436063,0.201968
GCLM,ENST00000370238,0.591223
ABCA4,ENST00000370225,0
ARHGAP29,ENST00000260526,0
ABCD3,ENST00000370214,0
F3,ENST00000334047,0
SLC44A3,ENST00000271227,0.934835
CNN3,ENST00000370206,0
ALG14,ENST00000370205,3.302321
TMEM56,ENST00000370203,0.417896
RWDD3,ENST00000370202,0
DPYD,ENST00000370192,0.438742
SNX7,ENST00000306121,0
LPPR5,ENST00000263177,0.733724
PALMD,ENST00000263174,0
AGL,ENST00000361915,0
SLC35A3,ENST00000533028,0.713876
HIAT1,ENST00000370152,3.278513
SASS6,ENST00000287482,0
LRRC39,ENST00000370137,0
RTCA,ENST00000370128,0
CDC14A,ENST00000336454,0
GPR88,ENST00000315033,1.126416
VCAM1,ENST00000294728,0
EXTL2,ENST00000370114,0
SLC30A7,ENST00000357650,3.099626
DPH5,ENST00000370109,0.777485
S1PR1,ENST00000305352,0
OLFM3,ENST00000370103,0
COL11A1,ENST00000370096,0
RNPC3,ENST00000423855,0
PRMT6,ENST00000370078,16.940405
VAV3,ENST00000370056,0.38243
SLC25A24,ENST00000565488,0
FAM102B,ENST00000370035,0
PRPF38B,ENST00000370025,1.512985
FNDC7,ENST00000370017,0
STXBP3,ENST00000370008,0.407697
AKNAD1,ENST00000370001,0
GPSM2,ENST00000264126,83.29432
CLCC1,ENST00000369969,0
WDR47,ENST00000369962,0
TAF13,ENST00000338366,3.232715
TMEM167B,ENST00000338272,13.904573
C1orf194,ENST00000369948,0
KIAA1324,ENST00000369939,0
SARS,ENST00000234677,2.14954
CELSR2,ENST00000271332,3.791711
MYBPHL,ENST00000357155,0
SORT1,ENST00000256637,0.574177
PSMA5,ENST00000271308,0
SYPL2,ENST00000369872,1.057605
CYB561D1,ENST00000420578,0
AMIGO1,ENST00000369864,1.122608
GNAI3,ENST00000369851,0.339192
AMPD2,ENST00000528667,0
GSTM4,ENST00000369836,0
GSTM2,ENST00000241337,0
GSTM1,ENST00000309851,0
GSTM5,ENST00000256593,1.832501
GSTM3,ENST00000361066,0
EPS8L3,ENST00000361965,0
CSF1,ENST00000329608,0.487713
AHCYL1,ENST00000369799,0
STRIP1,ENST00000369795,0
UBL4B,ENST00000334179,0
SLC6A17,ENST00000331565,0.592053
KCNC4,ENST00000438661,0
SLC16A4,ENST00000369779,0
LAMTOR5,ENST00000602318,0
PROK1,ENST00000271331,0.798288
KCNA10,ENST00000369771,0
KCNA2,ENST00000316361,9e-6
KCNA3,ENST00000369769,0.410077
CD53,ENST00000271324,0
LRIF1,ENST00000369763,0
DRAM2,ENST00000484310,0
CEPT1,ENST00000357172,0
DENND2D,ENST00000357640,10.669798
CHI3L2,ENST00000369748,0
CHIA,ENST00000369740,0
PIFO,ENST00000369738,0
OVGP1,ENST00000369732,0
WDR77,ENST00000235090,0
ATP5F1,ENST00000369722,0.454263
C1orf162,ENST00000369718,0
ADORA3,ENST00000369716,0
ADORA3,ENST00000241356,0
FAM212B,ENST00000357260,2.082102
DDX20,ENST00000369702,4.325721
KCND3,ENST00000302127,0
CTTNBP2NL,ENST00000271277,0.48793
WNT2B,ENST00000369684,6e-6
ST7L,ENST00000358039,0
CAPZA1,ENST00000263168,0
RHOC,ENST00000339083,20.942199
SLC16A1,ENST00000369626,0
LRIG2,ENST00000361127,6e-6
MAGI3,ENST00000307546,0
